# =========================================================================================
# UTIM COMPLETE MODEL MAX OUTPUT TOKENS CATALOG (ALL MODELS)
# Format: MODEL_ID | CONTEXT_WINDOW | MAX_OUTPUT_TOKENS
# =========================================================================================

ai21/jamba-large-1.7                                              | Context: 256000     | Max Output: 4096
aion-labs/aion-2.0                                                | Context: 131072     | Max Output: 32768
aion-labs/aion-3.0                                                | Context: 131072     | Max Output: 32768
aion-labs/aion-3.0-mini                                           | Context: 131072     | Max Output: 32768
aion-labs/aion-rp-llama-3.1-8b                                    | Context: 32768      | Max Output: 32768
allenai/olmo-3-32b-think                                          | Context: 65536      | Max Output: 65536
amazon/nova-2-lite-v1                                             | Context: 1000000    | Max Output: 65535
amazon/nova-lite-v1                                               | Context: 300000     | Max Output: 5120
amazon/nova-micro-v1                                              | Context: 128000     | Max Output: 5120
amazon/nova-premier-v1                                            | Context: 1000000    | Max Output: 32000
amazon/nova-pro-v1                                                | Context: 300000     | Max Output: 5120
anthracite-org/magnum-v4-72b                                      | Context: 16384      | Max Output: 2048
anthropic/claude-3-haiku                                          | Context: 200000     | Max Output: 4096
anthropic/claude-fable-5                                          | Context: 1000000    | Max Output: 128000
anthropic/claude-fable-5:batch                                    | Context: 1000000    | Max Output: 128000
anthropic/claude-haiku-4.5                                        | Context: 200000     | Max Output: 64000
anthropic/claude-haiku-4.5:batch                                  | Context: 200000     | Max Output: 64000
anthropic/claude-opus-4                                           | Context: 200000     | Max Output: 32000
anthropic/claude-opus-4.1                                         | Context: 200000     | Max Output: 32000
anthropic/claude-opus-4.1:batch                                   | Context: 200000     | Max Output: 32000
anthropic/claude-opus-4.5                                         | Context: 200000     | Max Output: 64000
anthropic/claude-opus-4.5:batch                                   | Context: 200000     | Max Output: 64000
anthropic/claude-opus-4.6                                         | Context: 1000000    | Max Output: 128000
anthropic/claude-opus-4.6:batch                                   | Context: 1000000    | Max Output: 128000
anthropic/claude-opus-4.7                                         | Context: 1000000    | Max Output: 128000
anthropic/claude-opus-4.7-fast                                    | Context: 1000000    | Max Output: 128000
anthropic/claude-opus-4.7:batch                                   | Context: 1000000    | Max Output: 128000
anthropic/claude-opus-4.8                                         | Context: 1000000    | Max Output: 128000
anthropic/claude-opus-4.8-fast                                    | Context: 1000000    | Max Output: 128000
anthropic/claude-opus-4.8:batch                                   | Context: 1000000    | Max Output: 128000
anthropic/claude-opus-5                                           | Context: 1000000    | Max Output: 128000
anthropic/claude-opus-5-fast                                      | Context: 1000000    | Max Output: 128000
anthropic/claude-sonnet-4                                         | Context: 1000000    | Max Output: 64000
anthropic/claude-sonnet-4.5                                       | Context: 1000000    | Max Output: 64000
anthropic/claude-sonnet-4.5:batch                                 | Context: 1000000    | Max Output: 64000
anthropic/claude-sonnet-4.6                                       | Context: 1000000    | Max Output: 128000
anthropic/claude-sonnet-5                                         | Context: 1000000    | Max Output: 128000
anthropic/claude-sonnet-5:batch                                   | Context: 1000000    | Max Output: 128000
arcee-ai/trinity-large-thinking                                   | Context: 262144     | Max Output: 262144
arcee-ai/virtuoso-large                                           | Context: 131072     | Max Output: 64000
